,,draft,,verify1,,settle,,
,,GPU,Flash,GPU,Flash,GPU,Flash,
PIM+SD,batch 8,34.58081494,20.93767056,8.761005443,24.40722708,1.499716101,5.01313952,95.19957364
,batch32,35.04402177,83.75068224,9.233479235,97.62890832,4.013915606,20.05255808,249.7235653
,batch 128,36.93391694,335.002729,18.33197427,390.5156333,14.08819761,80.21023232,875.0826834
,,,,,,,,0
PIM+SD+LB,batch 8,34.58081494,10.50894576,8.761005443,16.879827,1.499716101,5.01313952,77.24344876
,batch32,35.04402177,42.03578304,9.233479235,67.519308,4.013915606,20.05255808,177.8990657
,batch 128,36.93391694,168.1431322,18.33197427,270.077232,14.08819761,80.21023232,587.7846853
,,,,,,,,0
PIM+SD+LB+DV,batch 8,33.86675681,10.29194688,8.580099726,12.92573036,1.429961864,4.77997024,71.87446588
,batch32,34.3203989,41.16778752,9.042817422,51.70292144,3.827221857,19.11988096,159.1810281
,batch 128,36.17126969,164.6711501,17.95343792,206.8116858,13.4329326,76.47952384,515.5199999
