,,draft,,verify1,,settle,
,,GPU,Flash,GPU,Flash,GPU,Flash
PIM+SD,batch 8,62.12305693,54.97939944,15.73879739,76.23617904,2.476275423,16.70063136
,batch32,62.95518955,219.9175978,16.58757774,304.9447162,6.627628093,66.80252544
,batch 128,66.35031096,879.670391,32.93266174,1219.778865,23.26190768,267.2101018
,,,,,,,
PIM+SD+LB,batch 8,62.12305693,27.1414248,15.73879739,57.41732388,2.476275423,16.70063136
,batch32,62.95518955,108.5656992,16.58757774,229.6692955,6.627628093,66.80252544
,batch 128,66.35031096,434.2627968,32.93266174,918.6771821,23.26190768,267.2101018
,,,,,,,
PIM+SD+LB+DV,batch 8,49.16800236,21.4813904,12.45665081,47.55698864,1.848487288,12.46666848
,batch32,49.82660323,85.9255616,13.1284277,190.2279546,4.947384351,49.86667392
,batch 128,52.51371081,343.7022464,26.06493096,760.9118182,17.36452263,199.4666957
