,,draft,,verify1,,settle,,
,,GPU,Flash,GPU,Flash,GPU,Flash,
PIM+SD,batch 8,25.13993429,20.93767056,6.342471405,24.40722708,0.897668842,5.01313952,82.73811169
,batch32,25.36988562,83.75068224,6.537756034,97.62890832,1.816030429,20.05255808,235.1558207
,batch 128,26.15102414,335.002729,9.519426699,390.5156333,5.464605835,80.21023232,846.8636512
,,,,,,,,
PIM+SD+LB,batch 8,25.13993429,9.97413936,6.342471405,18.39065508,0.897668842,5.01313952,65.75800849
,batch32,25.36988562,39.89655744,6.537756034,73.56262032,1.816030429,20.05255808,167.2354079
,batch 128,26.15102414,159.5862298,9.519426699,294.2504813,5.464605835,80.21023232,575.182
,,,,,,,,
PIM+SD+LB+DV,batch 8,21.95109306,8.70898304,5.537969133,13.40948168,0.793288744,4.43021632,54.83103198
,batch32,22.15187653,34.83593216,5.708483145,53.63792672,1.6048641,17.72086528,135.6599479
,batch 128,22.83393258,139.3437286,8.311947796,214.5517069,4.829186552,70.88346112,460.7539636
