,,Draft,,Early-verify,,Final-verify,
,,GPU,Flash,GPU,Flash,GPU,Flash
b=8,PIM+SD,30.38495051,25.30595651,7.66571931,29.4993765,1.084952054,6.059045121
,PIM+SD+LB,30.38495051,12.05507251,7.66571931,22.22754992,1.084952054,6.059045121
,PIM+SD+DV,26.53081223,10.52596302,6.693371434,16.2071401,0.958794838,5.354504991
,,,,,,,
b=32,PIM+SD,10.78854248,35.61497308,2.780180399,41.51668796,0.772266841,8.527349235
,PIM+SD+LB,10.78854248,16.96600889,2.780180399,31.2825003,0.772266841,8.527349235
,PIM+SD+DV,9.420084292,14.81397826,2.427532148,22.80952543,0.682468371,7.535796999
,,,,,,,
b=128,PIM+SD,3.087985191,39.55804792,1.124080209,46.11316505,0.645275757,9.471445869
,PIM+SD+LB,3.087985191,18.84438298,1.124080209,34.74590991,0.645275757,9.471445869
,PIM+SD+DV,2.696293854,16.45409251,0.981497763,25.3348584,0.570243692,8.370114954
