layer_idx,step_idx,head_idx,plane_idx,reads_count
0,0,0,0,14
0,0,0,1,12
0,0,0,2,11
0,0,0,3,8
0,0,0,4,9
0,0,0,5,9
0,0,0,6,9
0,0,0,7,8
0,0,0,8,10
0,0,0,9,9
0,0,0,10,10
0,0,0,11,12
0,0,0,12,12
0,0,0,13,11
0,0,0,14,10
0,0,0,15,11
0,0,0,16,12
0,0,0,17,11
0,0,0,18,9
0,0,0,19,12
0,0,0,20,10
0,0,0,21,11
0,0,0,22,16
0,0,0,23,18
0,0,0,24,15
0,0,0,25,12
0,0,0,26,13
0,0,0,27,17
0,0,0,28,16
0,0,0,29,15
0,0,0,30,12
0,0,0,31,11
0,0,1,0,14
0,0,1,1,15
0,0,1,2,14
0,0,1,3,11
0,0,1,4,12
0,0,1,5,13
0,0,1,6,14
0,0,1,7,11
0,0,1,8,9
0,0,1,9,14
0,0,1,10,16
0,0,1,11,9
0,0,1,12,13
0,0,1,13,17
0,0,1,14,12
0,0,1,15,11
0,0,1,16,19
0,0,1,17,16
0,0,1,18,15
0,0,1,19,12
0,0,1,20,13
0,0,1,21,14
0,0,1,22,12
0,0,1,23,13
0,0,1,24,15
0,0,1,25,14
0,0,1,26,15
0,0,1,27,11
0,0,1,28,15
0,0,1,29,15
0,0,1,30,12
0,0,1,31,12
0,0,2,0,11
0,0,2,1,11
0,0,2,2,11
0,0,2,3,12
0,0,2,4,9
0,0,2,5,12
0,0,2,6,12
0,0,2,7,13
0,0,2,8,12
0,0,2,9,11
0,0,2,10,12
0,0,2,11,15
0,0,2,12,12
0,0,2,13,10
0,0,2,14,13
0,0,2,15,18
0,0,2,16,11
0,0,2,17,12
0,0,2,18,12
0,0,2,19,14
0,0,2,20,14
0,0,2,21,13
0,0,2,22,14
0,0,2,23,12
0,0,2,24,9
0,0,2,25,14
0,0,2,26,13
0,0,2,27,10
0,0,2,28,10
0,0,2,29,13
0,0,2,30,10
0,0,2,31,12
0,0,3,0,15
0,0,3,1,10
0,0,3,2,10
0,0,3,3,15
0,0,3,4,17
0,0,3,5,14
0,0,3,6,13
0,0,3,7,14
0,0,3,8,10
0,0,3,9,11
0,0,3,10,10
0,0,3,11,13
0,0,3,12,14
0,0,3,13,9
0,0,3,14,15
0,0,3,15,8
0,0,3,16,8
