plane_index,reads_count
0,5
1,7
2,6
3,6
4,1
5,3
6,4
7,5
8,6
9,7
10,7
11,5
12,5
13,5
14,6
15,7
16,6
17,8
18,8
19,6
20,5
21,4
22,5
23,8
24,8
25,6
26,6
27,6
28,5
29,8
30,5
31,6
32,7
33,6
34,7
35,7
36,8
37,7
38,8
39,10
40,8
41,7
42,6
43,7
44,6
45,8
46,8
47,9
48,4
49,3
50,7
51,5
52,7
53,5
54,5
55,6
56,6
57,5
58,7
59,6
60,6
61,6
62,8
63,8
64,5
65,3
66,6
67,6
68,7
69,7
70,7
71,5
72,11
73,3
74,5
75,5
76,6
77,6
78,6
79,7
80,6
81,6
82,7
83,6
84,4
85,3
86,5
87,5
88,5
89,6
90,7
91,7
92,4
93,7
94,8
95,6
96,4
97,4
98,5
99,6
100,7
101,7
102,2
103,2
104,5
105,5
106,3
107,7
108,10
109,7
110,7
111,11
112,10
113,8
114,5
115,2
116,8
117,4
118,7
119,8
120,7
121,5
122,6
123,4
124,7
125,5
126,3
127,5
128,8
129,4
130,5
131,10
132,4
133,4
134,6
135,6
136,7
137,6
138,8
139,7
140,6
141,8
142,7
143,4
144,5
145,4
146,4
147,7
148,7
149,3
150,4
151,8
152,4
153,5
154,9
155,8
156,6
157,7
158,5
159,5
160,8
161,7
162,8
163,6
164,8
165,8
166,6
167,6
168,8
169,8
170,7
171,7
172,4
173,7
174,7
175,5
176,2
177,4
178,5
179,5
180,3
181,7
182,4
183,2
184,4
185,7
186,7
187,6
188,3
189,6
190,10
191,9
192,6
193,4
194,9
195,9
196,4
197,9
198,9
199,7
200,10
201,11
202,8
203,10
204,9
205,8
206,8
207,9
208,8
209,5
210,6
211,6
212,3
213,4
214,7
215,4
216,4
217,4
218,4
219,7
220,6
221,4
222,6
223,7
224,7
225,2
226,2
227,7
228,9
229,7
230,8
231,9
232,14
233,7
234,4
235,5
236,7
237,7
238,6
239,3
240,4
241,6
242,11
243,11
244,11
245,1
246,5
247,5
248,4
249,6
250,6
251,7
252,5
253,4
254,5
255,7
256,8
257,7
258,5
259,6
260,7
261,3
262,5
263,5
264,5
265,8
266,9
267,7
268,7
269,5
270,4
271,1
272,5
273,8
274,6
275,6
276,4
277,2
278,6
279,5
280,5
281,4
282,6
283,6
284,9
285,6
286,4
287,8
288,6
289,4
290,4
291,4
292,5
293,9
294,9
295,9
296,7
297,4
298,6
299,4
300,4
301,4
302,8
303,8
304,6
305,6
306,6
307,10
308,6
309,2
310,5
311,5
312,6
313,7
314,6
315,4
316,6
317,8
318,7
319,7
320,5
321,4
322,5
323,6
324,6
325,5
326,7
327,6
328,7
329,5
330,5
331,9
332,7
333,5
334,5
335,7
336,6
337,8
338,8
339,7
340,4
341,5
342,7
343,6
344,3
345,4
346,4
347,4
348,5
349,4
350,5
351,3
