,,batch,throughput
case2,Flash,8,3.475219118
case2,,32,3.492728787
case2,,128,3.497094959
case4,Flash+SD,8,31.79243577
case4,,32,34.58451872
case4,,128,35.31701511
case9,Flash+DRAM+SD,8,95.46729505
case9,,32,126.0169547
case9,,128,52.46221863
case8,Inf.DRAM+SD,8,95.46729505
case8,,32,126.0169547
case8,,128,136.319043
case5,PIM+SD,8,168.9302919
case5,,32,295.8360897
case5,,128,359.6420732
case6,PIM+SD+LB,8,196.1050913
case6,,32,390.6318026
case6,,128,510.1396555
case7,PIM+SD+LB+DV,8,208.1551046
case7,,32,443.4807434
case7,,128,605.0138061
