model,case,batch8,batch16,batch32,batch64,batch128
Llama3.1-8B,SSD,21.35092257,21.78868061,22.01476762,22.1288249,22.18426015
,host DRAM+SSD,132.9640512,151.9794614,163.7062973,52.04845204,31.16383738
,host DRAM(Inf.),132.9640512,151.9794614,163.7062973,170.2309041,173.5673895
,InstAttention,99.0042773,116.5088591,127.8247189,134.2964254,137.6279176
,FlashSpec,270.6061767,358.1828594,427.4799454,472.9302775,498.4944339
Qwen2.5-14B,SSD,11.87675743,12.14015275,12.27647112,12.34524969,12.3784057
,host DRAM+SSD,72.63242925,83.74384794,51.52154154,20.00833184,15.32002875
,host DRAM(Inf.),72.63242925,83.74384794,90.69042798,94.58316417,96.56483074
,InstAttention,61.41255312,69.17286039,73.84497356,76.40547548,77.69344812
,FlashSpec,161.6602803,216.7584301,261.3593809,291.0759393,307.8085295
Qwen2.5-32B,SSD,8.562397348,8.791262259,8.910393734,8.970564709,8.999084215
,host DRAM+SSD,49.94956293,58.89357095,20.70833948,12.57761629,10.51107719
,host DRAM(Inf.),49.94956293,58.89357095,64.68740432,67.99864185,69.67236916
,InstAttention,47.44415044,52.06604028,54.73586555,56.16481792,56.87470761
,FlashSpec,108.0173859,150.68753,187.7947566,213.8625721,228.76
