model,case,batch8,batch16,batch32,batch64,batch128
Llama3.1-8B,SSD(w/o SD),2.632010982,2.63588906,2.637858359,2.638862268,2.639368261
,SSD,21.35092257,21.78868061,22.01476762,22.1288249,22.18426015
,DRAM+SSD,132.9640512,151.9794614,163.7062973,52.04845204,31.16383738
,Inf.DRAM,132.9640512,151.9794614,163.7062973,170.2309041,173.5673895
,InstAttention,69.86677713,78.15296982,83.08688555,85.77362632,87.1205475
,FlashSpec,195.7453401,239.9413535,270.5372144,288.8318,298.569888
,FlashSpec++,270.6061767,358.1828594,427.4799454,472.9302775,498.4944339
Qwen2.5-14B,SSD(w/o SD),1.753889022,1.756521351,1.757865337,1.758540275,1.758876213
,SSD,11.87675743,12.14015275,12.27647112,12.34524969,12.3784057
,DRAM+SSD,72.63242925,83.74384794,51.52154154,20.00833184,15.32002875
,Inf.DRAM,72.63242925,83.74384794,90.69042798,94.58316417,96.56483074
,InstAttention,41.96496913,45.44913273,47.42040939,48.46334714,48.9783568
,FlashSpec,105.5861661,130.8188449,148.599341,159.3450518,165.0513631
,FlashSpec++,161.6602803,216.7584301,261.3593809,291.0759393,307.8085295
Qwen2.5-32B,SSD(w/o SD),1.313881225,1.315964969,1.317001684,1.31750445,1.317756065
,SSD,8.562397348,8.791262259,8.910393734,8.970564709,8.999084215
,DRAM+SSD,49.94956293,58.89357095,20.70833948,12.57761629,10.51107719
,Inf.DRAM,49.94956293,58.89357095,64.68740432,67.99864185,69.67236916
,InstAttention,31.80097424,33.8128668,34.9189807,35.49509858,35.77731578
,FlashSpec,71.76710837,91.79746817,106.6925617,116.0100797,120.9678877
,FlashSpec++,108.0173859,150.68753,187.7947566,213.8625721,228.7656315
