,,batch,throughput
case2,Flash,8,1.748521853
case2,,32,1.752943355
case2,,128,1.754042453
case4,Flash+SD,8,11.67889828
case4,,32,12.21396108
case4,,128,12.34754861
case9,Flash+DRAM+SD,8,39.59478922
case9,,32,34.85517784
case9,,128,14.77281829
case8,Inf.DRAM+SD,8,39.59478922
case8,,32,46.50112796
case8,,128,48.49879491
case5,PIM+SD,8,91.76511685
case5,,32,139.9307269
case5,,128,159.7289064
case6,PIM+SD+LB,8,113.0969699
case6,,32,196.4259894
case6,,128,237.8013642
case7,PIM+SD+LB+DV,8,136.1689638
case7,,32,242.9946344
case7,,128,298.2483936
